Date : 2021-07-10 22:14:04
Directory : h:\work\_projects\react\volume-trainings\src
Total : 71 files,  3643 codes, 311 comments, 452 blanks, all 4406 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| CSS              |         17 |      1,296 |        126 |         72 |      1,494 |
| TypeScript       |         25 |      1,218 |        110 |        179 |      1,507 |
| TypeScript React |         16 |      1,116 |         75 |        201 |      1,392 |
| XML              |         13 |         13 |          0 |          0 |         13 |
+------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                           | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                              |         71 |      3,643 |        311 |        452 |      4,406 |
| assets                                                                                         |         14 |         16 |          0 |          0 |         16 |
| assets\css                                                                                     |          1 |          3 |          0 |          0 |          3 |
| assets\svg                                                                                     |         13 |         13 |          0 |          0 |         13 |
| components                                                                                     |         28 |      2,142 |        176 |        222 |      2,540 |
| components\days-menu                                                                           |          2 |         33 |          4 |          7 |         44 |
| components\ex-set                                                                              |          2 |        154 |          6 |         17 |        177 |
| components\exercise                                                                            |          2 |        265 |         11 |         26 |        302 |
| components\footer                                                                              |          2 |         14 |          5 |          5 |         24 |
| components\header                                                                              |          2 |         81 |          4 |         10 |         95 |
| components\home                                                                                |          2 |         28 |          5 |         10 |         43 |
| components\menu-day                                                                            |          2 |        242 |         16 |         22 |        280 |
| components\options                                                                             |          2 |        266 |         26 |         24 |        316 |
| components\stats                                                                               |          2 |        227 |         22 |         18 |        267 |
| components\training                                                                            |          2 |        208 |         36 |         19 |        263 |
| components\training-day                                                                        |          2 |         26 |          4 |          5 |         35 |
| components\training-week                                                                       |          2 |        260 |         19 |         25 |        304 |
| components\year-schedule                                                                       |          2 |         92 |          8 |         14 |        114 |
| components\year-week                                                                           |          2 |        246 |         10 |         20 |        276 |
| constants                                                                                      |          3 |         40 |          4 |          7 |         51 |
| providers                                                                                      |          3 |         49 |          1 |         10 |         60 |
| store                                                                                          |         12 |        689 |         75 |         92 |        856 |
| store\actions                                                                                  |          3 |        174 |         20 |         25 |        219 |
| store\reducers                                                                                 |          4 |        410 |         28 |         36 |        474 |
| store\types                                                                                    |          3 |         64 |          0 |         15 |         79 |
| utils                                                                                          |          6 |        440 |         29 |         69 |        538 |
+------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                       | language         | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| h:\work\_projects\react\volume-trainings\src\App.css                                           | CSS              |         12 |          0 |          0 |         12 |
| h:\work\_projects\react\volume-trainings\src\App.tsx                                           | TypeScript React |         53 |          4 |         22 |         79 |
| h:\work\_projects\react\volume-trainings\src\assets\css\normalize.css                          | CSS              |          3 |          0 |          0 |          3 |
| h:\work\_projects\react\volume-trainings\src\assets\svg\arrow_downward_black_24dp.svg          | XML              |          1 |          0 |          0 |          1 |
| h:\work\_projects\react\volume-trainings\src\assets\svg\close_black_24dp.svg                   | XML              |          1 |          0 |          0 |          1 |
| h:\work\_projects\react\volume-trainings\src\assets\svg\content_copy_black_24dp.svg            | XML              |          1 |          0 |          0 |          1 |
| h:\work\_projects\react\volume-trainings\src\assets\svg\copy_all_black_24dp.svg                | XML              |          1 |          0 |          0 |          1 |
| h:\work\_projects\react\volume-trainings\src\assets\svg\delete_outline_black_24dp-red.svg      | XML              |          1 |          0 |          0 |          1 |
| h:\work\_projects\react\volume-trainings\src\assets\svg\delete_outline_black_24dp.svg          | XML              |          1 |          0 |          0 |          1 |
| h:\work\_projects\react\volume-trainings\src\assets\svg\done_black_24dp.svg                    | XML              |          1 |          0 |          0 |          1 |
| h:\work\_projects\react\volume-trainings\src\assets\svg\edit_black_24dp.svg                    | XML              |          1 |          0 |          0 |          1 |
| h:\work\_projects\react\volume-trainings\src\assets\svg\history_black_24dp.svg                 | XML              |          1 |          0 |          0 |          1 |
| h:\work\_projects\react\volume-trainings\src\assets\svg\keyboard_arrow_down_black_24dp.svg     | XML              |          1 |          0 |          0 |          1 |
| h:\work\_projects\react\volume-trainings\src\assets\svg\menu_black_24dp.svg                    | XML              |          1 |          0 |          0 |          1 |
| h:\work\_projects\react\volume-trainings\src\assets\svg\menu_grey_24dp.svg                     | XML              |          1 |          0 |          0 |          1 |
| h:\work\_projects\react\volume-trainings\src\assets\svg\settings_backup_restore_black_24dp.svg | XML              |          1 |          0 |          0 |          1 |
| h:\work\_projects\react\volume-trainings\src\components\days-menu\days-menu.css                | CSS              |         11 |          0 |          0 |         11 |
| h:\work\_projects\react\volume-trainings\src\components\days-menu\days-menu.tsx                | TypeScript React |         22 |          4 |          7 |         33 |
| h:\work\_projects\react\volume-trainings\src\components\ex-set\ex-set.css                      | CSS              |         76 |          0 |          0 |         76 |
| h:\work\_projects\react\volume-trainings\src\components\ex-set\ex-set.tsx                      | TypeScript React |         78 |          6 |         17 |        101 |
| h:\work\_projects\react\volume-trainings\src\components\exercise\exercise.css                  | CSS              |         96 |          5 |          1 |        102 |
| h:\work\_projects\react\volume-trainings\src\components\exercise\exercise.tsx                  | TypeScript React |        169 |          6 |         25 |        200 |
| h:\work\_projects\react\volume-trainings\src\components\footer\footer.css                      | CSS              |          5 |          1 |          0 |          6 |
| h:\work\_projects\react\volume-trainings\src\components\footer\footer.tsx                      | TypeScript React |          9 |          4 |          5 |         18 |
| h:\work\_projects\react\volume-trainings\src\components\header\header.css                      | CSS              |         31 |          0 |          1 |         32 |
| h:\work\_projects\react\volume-trainings\src\components\header\header.tsx                      | TypeScript React |         50 |          4 |          9 |         63 |
| h:\work\_projects\react\volume-trainings\src\components\home\home.css                          | CSS              |          6 |          1 |          0 |          7 |
| h:\work\_projects\react\volume-trainings\src\components\home\home.tsx                          | TypeScript React |         22 |          4 |         10 |         36 |
| h:\work\_projects\react\volume-trainings\src\components\menu-day\menu-day.css                  | CSS              |        143 |         10 |          6 |        159 |
| h:\work\_projects\react\volume-trainings\src\components\menu-day\menu-day.tsx                  | TypeScript React |         99 |          6 |         16 |        121 |
| h:\work\_projects\react\volume-trainings\src\components\options\options.css                    | CSS              |        152 |         21 |          8 |        181 |
| h:\work\_projects\react\volume-trainings\src\components\options\options.tsx                    | TypeScript React |        114 |          5 |         16 |        135 |
| h:\work\_projects\react\volume-trainings\src\components\stats\stats.css                        | CSS              |        166 |         18 |          9 |        193 |
| h:\work\_projects\react\volume-trainings\src\components\stats\stats.tsx                        | TypeScript React |         61 |          4 |          9 |         74 |
| h:\work\_projects\react\volume-trainings\src\components\training-day\training-day.css          | CSS              |         11 |          0 |          0 |         11 |
| h:\work\_projects\react\volume-trainings\src\components\training-day\training-day.tsx          | TypeScript React |         15 |          4 |          5 |         24 |
| h:\work\_projects\react\volume-trainings\src\components\training-week\training-week.css        | CSS              |        134 |         13 |          9 |        156 |
| h:\work\_projects\react\volume-trainings\src\components\training-week\training-week.tsx        | TypeScript React |        126 |          6 |         16 |        148 |
| h:\work\_projects\react\volume-trainings\src\components\training\training.css                  | CSS              |        100 |         30 |          3 |        133 |
| h:\work\_projects\react\volume-trainings\src\components\training\training.tsx                  | TypeScript React |        108 |          6 |         16 |        130 |
| h:\work\_projects\react\volume-trainings\src\components\year-schedule\year-schedule.css        | CSS              |         39 |          2 |          2 |         43 |
| h:\work\_projects\react\volume-trainings\src\components\year-schedule\year-schedule.tsx        | TypeScript React |         53 |          6 |         12 |         71 |
| h:\work\_projects\react\volume-trainings\src\components\year-week\year-week.css                | CSS              |        123 |          4 |          5 |        132 |
| h:\work\_projects\react\volume-trainings\src\components\year-week\year-week.tsx                | TypeScript React |        123 |          6 |         15 |        144 |
| h:\work\_projects\react\volume-trainings\src\constants\date-and-time.ts                        | TypeScript       |         28 |          4 |          5 |         37 |
| h:\work\_projects\react\volume-trainings\src\constants\index.ts                                | TypeScript       |          2 |          0 |          0 |          2 |
| h:\work\_projects\react\volume-trainings\src\constants\schedule.ts                             | TypeScript       |         10 |          0 |          2 |         12 |
| h:\work\_projects\react\volume-trainings\src\index.css                                         | CSS              |        188 |         21 |         28 |        237 |
| h:\work\_projects\react\volume-trainings\src\index.tsx                                         | TypeScript React |         14 |          0 |          1 |         15 |
| h:\work\_projects\react\volume-trainings\src\providers\index.ts                                | TypeScript       |          7 |          0 |          1 |          8 |
| h:\work\_projects\react\volume-trainings\src\providers\json-provider.ts                        | TypeScript       |         14 |          1 |          4 |         19 |
| h:\work\_projects\react\volume-trainings\src\providers\local-storage-provider.ts               | TypeScript       |         28 |          0 |          5 |         33 |
| h:\work\_projects\react\volume-trainings\src\react-app-env.d.ts                                | TypeScript       |          0 |          1 |          1 |          2 |
| h:\work\_projects\react\volume-trainings\src\store\actions\app-options-actions.ts              | TypeScript       |         40 |          0 |          6 |         46 |
| h:\work\_projects\react\volume-trainings\src\store\actions\index.ts                            | TypeScript       |          8 |          0 |          3 |         11 |
| h:\work\_projects\react\volume-trainings\src\store\actions\year-schedule-actions.ts            | TypeScript       |        126 |         20 |         16 |        162 |
| h:\work\_projects\react\volume-trainings\src\store\index.ts                                    | TypeScript       |          3 |          4 |          1 |          8 |
| h:\work\_projects\react\volume-trainings\src\store\reducers\app-options-reducer.ts             | TypeScript       |         53 |          0 |          8 |         61 |
| h:\work\_projects\react\volume-trainings\src\store\reducers\index.ts                           | TypeScript       |          9 |          0 |          3 |         12 |
| h:\work\_projects\react\volume-trainings\src\store\reducers\reducers-utils.ts                  | TypeScript       |         13 |          0 |          3 |         16 |
| h:\work\_projects\react\volume-trainings\src\store\reducers\year-schedule-reducer.ts           | TypeScript       |        335 |         28 |         22 |        385 |
| h:\work\_projects\react\volume-trainings\src\store\state.ts                                    | TypeScript       |         38 |         23 |         15 |         76 |
| h:\work\_projects\react\volume-trainings\src\store\types\date-types.ts                         | TypeScript       |          6 |          0 |          3 |          9 |
| h:\work\_projects\react\volume-trainings\src\store\types\index.ts                              | TypeScript       |          2 |          0 |          0 |          2 |
| h:\work\_projects\react\volume-trainings\src\store\types\schedule-types.ts                     | TypeScript       |         56 |          0 |         12 |         68 |
| h:\work\_projects\react\volume-trainings\src\utils\calculate-stats.ts                          | TypeScript       |         80 |          2 |          7 |         89 |
| h:\work\_projects\react\volume-trainings\src\utils\create-schedule.ts                          | TypeScript       |        110 |          3 |         12 |        125 |
