Date : 2021-07-21 19:54:08
Directory : h:\work\_projects\react\volume-trainings\src
Total : 106 files,  5011 codes, 358 comments, 641 blanks, all 6010 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| TypeScript React |         25 |      1,717 |        144 |        319 |      2,180 |
| TypeScript       |         37 |      1,683 |        101 |        236 |      2,020 |
| CSS              |         27 |      1,575 |        113 |         85 |      1,773 |
| XML              |         17 |         36 |          0 |          1 |         37 |
+------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                 | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                    |        106 |      5,011 |        358 |        641 |      6,010 |
| assets                                                                                                               |         20 |        242 |         12 |         10 |        264 |
| assets\css                                                                                                           |          3 |        206 |         12 |          9 |        227 |
| assets\svg                                                                                                           |         15 |         15 |          0 |          0 |         15 |
| assets\svg-loaders                                                                                                   |          2 |         21 |          0 |          1 |         22 |
| components                                                                                                           |         45 |      2,961 |        235 |        377 |      3,573 |
| components\auth                                                                                                      |          2 |         32 |          6 |         10 |         48 |
| components\bla                                                                                                       |          1 |         54 |          6 |         13 |         73 |
| components\common                                                                                                    |         10 |        325 |         49 |         57 |        431 |
| components\common\dropdown                                                                                           |          2 |        133 |         19 |         21 |        173 |
| components\common\footer                                                                                             |          2 |         14 |          5 |          5 |         24 |
| components\common\global-loading-indicator                                                                           |          2 |         46 |          7 |          7 |         60 |
| components\common\header                                                                                             |          2 |         90 |         11 |         16 |        117 |
| components\common\local-loading-indicator                                                                            |          2 |         42 |          7 |          8 |         57 |
| components\days-menu                                                                                                 |          2 |         33 |          4 |          7 |         44 |
| components\ex-set                                                                                                    |          2 |        152 |          6 |         17 |        175 |
| components\exercise                                                                                                  |          2 |        266 |         11 |         27 |        304 |
| components\home                                                                                                      |          2 |         28 |          5 |         10 |         43 |
| components\login-form                                                                                                |          2 |         56 |          7 |         10 |         73 |
| components\menu-day                                                                                                  |          2 |        244 |         16 |         23 |        283 |
| components\options                                                                                                   |          2 |        155 |         20 |         19 |        194 |
| components\registration-form                                                                                         |          2 |        254 |          8 |         37 |        299 |
| components\schedule                                                                                                  |          2 |        153 |          6 |         26 |        185 |
| components\stats                                                                                                     |          2 |        227 |         22 |         18 |        267 |
| components\training                                                                                                  |          2 |        211 |          7 |         18 |        236 |
| components\training-day                                                                                              |          2 |         48 |          6 |          9 |         63 |
| components\training-week                                                                                             |          2 |        265 |         19 |         25 |        309 |
